chain,scenario,time_h,parent_fraction,intermediate_fraction,daughter_fraction,daughter_fraction_per_natural_element_atom
Y_to_Zr,liquid_standard_same_source,72,0.9999996813796266,2.213133303237214e-07,9.73070430947331e-08,9.73070430947331e-08
Y_to_Zr,liquid_standard_same_source,168,0.9999992565526199,3.4253485001070486e-07,4.009125300919749e-07,4.009125300919749e-07
Y_to_Zr,liquid_standard_same_source,336,0.9999985131057924,3.9814011324521543e-07,1.0887540944021448e-06,1.0887540944021448e-06
Y_to_Zr,liquid_standard_same_source,720,0.9999968138008337,4.0874658462448806e-07,2.7774525816584444e-06,2.7774525816584444e-06
Y_to_Zr,liquid_standard_same_source,1440,0.9999936276118193,4.0891413590264e-07,5.9634740447838875e-06,5.9634740447838875e-06
Y_to_Zr,liquid_standard_same_source,2880,0.999987255264246,4.089115999252298e-07,1.23358241540415e-05,1.23358241540415e-05
Y_to_Zr,liquid_standard_same_source,8760,0.999961235266425,4.089009599106985e-07,3.8355832615092284e-05,3.8355832615092284e-05
Y_to_Zr,liquid_hypothesis_source_x10,0,1.0,0.0,0.0,0.0
Y_to_Zr,liquid_hypothesis_source_x10,6,0.999999734483015,2.5708032041552664e-07,8.436664538612803e-09,8.436664538612803e-09
Y_to_Zr,liquid_hypothesis_source_x10,12,0.9999994689661006,4.979982810771454e-07,3.303561833197145e-08,3.303561833197145e-08
Y_to_Zr,liquid_hypothesis_source_x10,24,0.9999989379324833,9.353476646066779e-07,1.267198521038852e-07,1.267198521038852e-07
Y_to_Zr,liquid_hypothesis_source_x10,48,0.9999978758660946,1.6567446835612177e-06,4.6738922187331546e-07,4.6738922187331546e-07
Y_to_Zr,liquid_hypothesis_source_x10,72,0.9999968138008337,2.213129722098992e-06,9.730694441839406e-07,9.730694441839406e-07
Y_to_Zr,liquid_hypothesis_source_x10,168,0.9999925655510705,3.4253337455658387e-06,4.009115183911695e-06,4.009115183911695e-06
Y_to_Zr,liquid_hypothesis_source_x10,336,0.999985131157412,3.98136106382477e-06,1.0887481524120305e-05,1.0887481524120305e-05
Y_to_Zr,liquid_hypothesis_source_x10,720,0.9999681384651675,4.087363630501926e-06,2.7774171201976073e-05,2.7774171201976073e-05
Y_to_Zr,liquid_hypothesis_source_x10,1440,0.9999362779454924,4.0889218948596046e-06,5.963313261269381e-05,5.963313261269381e-05
Y_to_Zr,liquid_hypothesis_source_x10,2880,0.9998725599514852,4.0886620381402535e-06,0.00012335138647669722,0.00012335138647669722
Y_to_Zr,liquid_hypothesis_source_x10,8760,0.9996124202789658,4.0875982793712595e-06,0.0003834921227548323,0.0003834921227548323
Ce_to_Pr,solid_reference,0,1.0,0.0,0.0,0.0
Ce_to_Pr,solid_reference,6,0.999999987688,1.227923902332594e-08,3.2760951763865144e-11,2.898689012066788e-11
Ce_to_Pr,solid_reference,12,0.9999999753760003,2.4493188452583733e-08,1.308112755512715e-10,1.1574181660776503e-10
Ce_to_Pr,solid_reference,24,0.9999999507520012,4.8726605277676564e-08,5.213935124596295e-10,4.613289798242802e-10
